pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Bile Acid Biosynthesis,SMPDB,0,,17 (17),1,1,6,HMDB03533;HMDB0000619;HMDB00359;HMDB0000518;HMDB00138;HMDB12453,58 (64),0.000947,0.0438,0.00754,0.0894
Congenital Bile Acid Synthesis Defect Type II,SMPDB,0,,17 (17),1,1,6,HMDB03533;HMDB0000619;HMDB00359;HMDB0000518;HMDB00138;HMDB12453,58 (64),0.000947,0.0438,0.00754,0.0894
Cerebrotendinous Xanthomatosis (CTX),SMPDB,0,,17 (17),1,1,6,HMDB03533;HMDB0000619;HMDB00359;HMDB0000518;HMDB00138;HMDB12453,58 (64),0.000947,0.0438,0.00754,0.0894
Zellweger Syndrome,SMPDB,0,,17 (17),1,1,6,HMDB03533;HMDB0000619;HMDB00359;HMDB0000518;HMDB00138;HMDB12453,58 (64),0.000947,0.0438,0.00754,0.0894
Familial Hypercholanemia (FHCA),SMPDB,0,,17 (17),1,1,6,HMDB03533;HMDB0000619;HMDB00359;HMDB0000518;HMDB00138;HMDB12453,58 (64),0.000947,0.0438,0.00754,0.0894
Congenital Bile Acid Synthesis Defect Type III,SMPDB,0,,17 (17),1,1,6,HMDB03533;HMDB0000619;HMDB00359;HMDB0000518;HMDB00138;HMDB12453,58 (64),0.000947,0.0438,0.00754,0.0894
Synthesis of Prostaglandins (PG) and Thromboxanes (TX),Reactome,0,,16 (16),1,1,5,HMDB02752;HMDB04238;HMDB02710;HMDB60095;HMDB04236,39 (50),0.000972,0.044,0.00772,0.0906
Urea cycle and metabolism of amino groups,Wikipathways,0,,0 (0),1,1,4,HMDB00162;HMDB00191;HMDB00517;HMDB00562,28 (32),0.00216,0.0907,0.00216,0.0907
Phenylalanine metabolism - Homo sapiens (human),KEGG,2,DDC;AOC3,17 (17),0.00541,1,2,HMDB0000714;HMDB00158,40 (60),0.194,1,0.00826,0.0961
Primary bile acid biosynthesis - Homo sapiens (human),KEGG,0,,17 (17),1,1,5,HMDB12453;HMDB03533;HMDB0000518;HMDB0000619;HMDB00138,40 (47),0.00109,0.0489,0.00855,0.098
GPCR ligand binding,Reactome,6,LHB;ADM;CRH;CXCL12;TSHB;CCL28,476 (476),0.0919,1,7,HMDB00895;HMDB0000619;HMDB00517;HMDB01388;HMDB00277;HMDB0000518;HMDB01999,125 (168),0.012,0.303,0.00859,0.098
phospholipids as signalling intermediaries,BioCarta,1,SMPD1,33 (33),0.195,1,2,HMDB00277;HMDB13464,6 (7),0.00576,0.196,0.00876,0.0986
Peptide hormone metabolism,Reactome,3,LHB;TSHB;ATP6AP2,50 (50),0.00426,0.868,1,HMDB00517,15 (31),0.266,1,0.00881,0.0986
Innate Immune System,Reactome,15,CEACAM8;TREM1;NFATC3;CLEC4A;DEFB4A;CTSV;GUSB;ATP6AP2;GRN;CLEC5A;S100P;RETN;CKAP4;B4GALT1;IGF2R,1064 (1065),0.00362,0.77,2,HMDB00517;HMDB0007982#HMDB0007938,57 (119),0.323,1,0.00906,0.1
Axon guidance - Homo sapiens (human),KEGG,6,SEMA7A;PLXNB2;NFATC3;ROBO2;CXCL12;SEMA4C,182 (182),0.00123,0.559,0,,1 (1),1,1,0.00948,0.104
G alpha (s) signalling events,Reactome,4,CRH;TSHB;LHB;ADM,143 (143),0.0144,1,2,HMDB0000619;HMDB0000518,25 (25),0.0902,1,0.00994,0.108
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Reactome,5,VWA1;PCSK9;CKAP4;IGFBP3;AFP,124 (124),0.00131,0.559,0,,3 (3),1,1,0.01,0.108
Glycerophospholipid metabolism - Homo sapiens (human),KEGG,0,,98 (98),1,1,4,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB10164;HMDB00895;HMDB0007982#HMDB0007938,25 (55),0.0014,0.0612,0.0106,0.113
Nitrogen metabolism - Homo sapiens (human),KEGG,2,CA14;CA6,17 (17),0.00541,1,1,HMDB00641,16 (19),0.281,1,0.0114,0.12
Class A/1 (Rhodopsin-like receptors),Reactome,4,LHB;CXCL12;TSHB;CCL28,346 (346),0.191,1,6,HMDB00895;HMDB0000619;HMDB01388;HMDB00277;HMDB0000518;HMDB01999,90 (113),0.00885,0.231,0.0125,0.131
Peptide hormone biosynthesis,Reactome,2,LHB;TSHB,10 (10),0.00185,0.712,0,,1 (1),1,1,0.0135,0.14
Phospholipid Biosynthesis,SMPDB,0,,28 (28),1,1,4,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB10164;HMDB00895;HMDB0007982#HMDB0007938,27 (27),0.00188,0.0814,0.0137,0.141
Transport of organic anions,Reactome,0,,12 (12),1,1,3,HMDB00138;HMDB0000619;HMDB0000518,13 (15),0.00196,0.083,0.0142,0.145
mTOR signaling pathway - Homo sapiens (human),KEGG,0,,154 (155),1,1,2,HMDB00517;HMDB00687,4 (4),0.00237,0.0981,0.0167,0.169
L-carnitine biosynthesis,HumanCyc,0,,3 (3),1,1,3,HMDB06831;HMDB00062;HMDB01325,14 (14),0.00246,0.0999,0.0172,0.172
Digestion of dietary lipid,Reactome,0,,7 (7),1,1,3,HMDB00138;HMDB0000619;HMDB0000518,14 (17),0.00246,0.0999,0.0172,0.172
Glucocorticoid biosynthesis,Reactome,1,HSD11B1,9 (9),0.0575,1,2,HMDB00063;HMDB01830,17 (17),0.0453,0.701,0.0181,0.179
terminal <i>O</i>-glycans residues modification,HumanCyc,2,B4GAT1;B4GALT1,12 (12),0.00268,0.712,0,,7 (9),1,1,0.0186,0.18
Reversible hydration of carbon dioxide,Reactome,2,CA14;CA6,12 (12),0.00268,0.712,0,,4 (5),1,1,0.0186,0.18
Hemostasis,Reactome,10,CEACAM8;TREM1;PSG1;HGF;F7;CD48;CXADR;TFPI;TNFRSF10A;RARRES2,677 (677),0.0129,1,2,HMDB10164;HMDB00517,42 (67),0.209,1,0.0186,0.18
Cell surface interactions at the vascular wall,Reactome,6,CEACAM8;CD48;PSG1;TREM1;CXADR;TNFRSF10A,215 (215),0.00286,0.712,0,,9 (13),1,1,0.0196,0.187
Phosphatidylcholine catabolism,Wikipathways,0,,0 (0),1,1,2,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB13464,6 (9),0.00576,0.196,0.00576,0.196
Demeclocycline Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,19 (21),0.00609,0.196,0.00609,0.196
Arbekacin Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,19 (20),0.00609,0.196,0.00609,0.196
Rolitetracycline Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,19 (20),0.00609,0.196,0.00609,0.196
Lymecycline Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,19 (20),0.00609,0.196,0.00609,0.196
Clomocycline Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,19 (20),0.00609,0.196,0.00609,0.196
Streptomycin Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Roxithromycin Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Erythromycin Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Spectinomycin Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Kanamycin Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Tobramycin Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Troleandomycin Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Josamycin Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Methacycline Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Gentamicin Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Netilmicin Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Neomycin Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Amikacin Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Telithromycin Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Tigecycline Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Paromomycin Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Doxycycline Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Oxytetracycline Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Minocycline Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Tetracycline Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Lincomycin Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Chloramphenicol Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Clarithromycin Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Clindamycin Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Azithromycin Action Pathway,SMPDB,0,,0 (0),1,1,3,HMDB00162;HMDB00172;HMDB00687,20 (20),0.00706,0.196,0.00706,0.196
Adaptive Immune System,Reactome,11,TREM1;KIR3DL1;NFATC3;LILRA5;CTSV;CD28;SIGLEC6;CXADR;PVR;CD200R1;NECTIN2,719 (719),0.00713,1,1,HMDB10164,27 (51),0.427,1,0.0207,0.196
Phenylalanine degradation,INOH,2,DDC;AOC3,13 (13),0.00316,0.712,0,,14 (14),1,1,0.0213,0.197
extrinsic prothrombin activation pathway,BioCarta,2,F7;TFPI,13 (13),0.00316,0.712,0,,1 (1),1,1,0.0213,0.197
phospholipases,HumanCyc,0,,41 (41),1,1,4,HMDB01388;HMDB00673;HMDB01999;HMDB0007982#HMDB0007938,31 (55),0.00318,0.125,0.0215,0.197
Tryptophan catabolism,Reactome,0,,14 (14),1,1,4,HMDB00158;HMDB00172;HMDB00687;HMDB00929,31 (34),0.00318,0.125,0.0215,0.197
Biochemical Pathways Part I,Wikipathways,0,,0 (0),1,1,17,HMDB00641;HMDB00162;HMDB00197;HMDB00895;HMDB0000619;HMDB0000518;HMDB00517;HMDB00172;HMDB00929;HMDB01830;HMDB00191;HMDB00158;HMDB00092;HMDB00043;HMDB00063;HMDB00687;HMDB00138,465 (469),0.00802,0.214,0.00802,0.214
Synthesis of PS,Reactome,0,,2 (2),1,1,2,HMDB10164;HMDB0007982#HMDB0007938,5 (6),0.00389,0.152,0.0255,0.232
Glycine Serine metabolism,INOH,1,AOC3,40 (40),0.231,1,4,HMDB00043;HMDB10164;HMDB00517;HMDB00092,53 (68),0.0213,0.442,0.0311,0.282
the visual cycle I (vertebrates),HumanCyc,0,,16 (16),1,1,4,HMDB01388;HMDB00673;HMDB01999;HMDB0007982#HMDB0007938,35 (58),0.00498,0.191,0.0314,0.282
Arginine biosynthesis - Homo sapiens (human),KEGG,0,,22 (22),1,1,3,HMDB00641;HMDB00191;HMDB00517,18 (23),0.0052,0.196,0.0326,0.29
Cholesterol metabolism - Homo sapiens (human),KEGG,2,ANGPTL4;PCSK9,50 (50),0.0424,1,1,HMDB00138,7 (10),0.134,1,0.0351,0.309
Acyl chain remodelling of PC,Reactome,0,,27 (27),1,1,2,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB0007982#HMDB0007938,6 (13),0.00576,0.196,0.0355,0.309
Acyl chain remodeling of CL,Reactome,0,,6 (6),1,1,2,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB0007982#HMDB0007938,6 (12),0.00576,0.196,0.0355,0.309
Prolactin signaling pathway - Homo sapiens (human),KEGG,1,LHB,70 (70),0.369,1,2,HMDB00158;HMDB01830,10 (11),0.0164,0.373,0.037,0.315
Linoleic acid metabolism - Homo sapiens (human),KEGG,0,,29 (29),1,1,3,HMDB00673;HMDB03797;HMDB0007982#HMDB0007938,19 (28),0.00609,0.196,0.0372,0.315
Carnitine Synthesis,SMPDB,0,,5 (5),1,1,3,HMDB06831;HMDB00062;HMDB01325,19 (20),0.00609,0.196,0.0372,0.315
sphingosine and sphingosine-1-phosphate metabolism,HumanCyc,0,,9 (9),1,1,4,HMDB01388;HMDB00673;HMDB00277;HMDB01999,37 (59),0.0061,0.196,0.0372,0.315
catecholamine biosynthesis,HumanCyc,1,DDC,4 (4),0.0259,1,1,HMDB00158,14 (16),0.25,1,0.0392,0.33
Bile secretion - Homo sapiens (human),KEGG,0,,90 (90),1,1,7,HMDB00895;HMDB0000619;HMDB0000518;HMDB10318#HMDB02596;HMDB00062;HMDB00063;HMDB00138,112 (161),0.00666,0.196,0.0401,0.335
Intra-Golgi and retrograde Golgi-to-ER traffic,Reactome,2,ALPP;IGF2R,186 (186),0.345,1,2,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB0007982#HMDB0007938,11 (13),0.0198,0.423,0.0409,0.339
Catecholamine biosynthesis,Reactome,1,DDC,4 (4),0.0259,1,1,HMDB00158,15 (19),0.266,1,0.0412,0.339
Recycling of bile acids and salts,Reactome,0,,16 (16),1,1,3,HMDB0000518;HMDB0000619;HMDB00138,20 (20),0.00706,0.196,0.042,0.343
Tryptophan degradation,INOH,2,DDC;AOC3,66 (66),0.0695,1,3,HMDB00197;HMDB10351;HMDB00929,56 (62),0.103,1,0.0426,0.343
Tyrosine hydroxylase deficiency,SMPDB,1,DDC,4 (4),0.0259,1,1,HMDB00158,16 (18),0.281,1,0.0431,0.343
Catecholamine Biosynthesis,SMPDB,1,DDC,4 (4),0.0259,1,1,HMDB00158,16 (18),0.281,1,0.0431,0.343
Aromatic L-Aminoacid Decarboxylase Deficiency,SMPDB,1,DDC,4 (4),0.0259,1,1,HMDB00158,16 (18),0.281,1,0.0431,0.343
superpathway of tryptophan utilization,HumanCyc,1,DDC,43 (43),0.247,1,4,HMDB00641;HMDB00197;HMDB10351;HMDB00929,59 (70),0.0303,0.548,0.044,0.344
AP-1 transcription factor network,PID,1,NFATC3,70 (70),0.369,1,1,HMDB00063,1 (1),0.0203,0.423,0.0442,0.344
Glycerophospholipid metabolism,EHMN,0,,136 (136),1,1,5,HMDB00641;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB0007982#HMDB0007938;HMDB00895;HMDB10164,62 (95),0.00767,0.212,0.045,0.344
Glycosaminoglycan metabolism,Reactome,4,B4GAT1;HS6ST1;B4GALT1;GUSB,119 (119),0.00771,1,0,,30 (60),1,1,0.0452,0.344
Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4),Wikipathways,1,ERBB3,33 (33),0.195,1,1,HMDB01830,2 (3),0.0402,0.639,0.0459,0.344
ceramide signaling pathway,BioCarta,1,SMPD1,33 (33),0.195,1,1,HMDB13464,2 (2),0.0402,0.639,0.0459,0.344
methionine salvage,HumanCyc,0,,3 (3),1,1,2,HMDB00092;HMDB00043,7 (8),0.00796,0.214,0.0464,0.344
ABC transporters in lipid homeostasis,Reactome,0,,18 (18),1,1,2,HMDB13464;HMDB0007982#HMDB0007938,7 (11),0.00796,0.214,0.0464,0.344
COPI-independent Golgi-to-ER retrograde traffic,Reactome,0,,34 (34),1,1,2,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB0007982#HMDB0007938,7 (9),0.00796,0.214,0.0464,0.344
phospho-PLA2 pathway,Reactome,0,,2 (2),1,1,2,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB0007982#HMDB0007938,7 (7),0.00796,0.214,0.0464,0.344
serotonin and melatonin biosynthesis,HumanCyc,1,DDC,5 (5),0.0323,1,1,HMDB00929,14 (15),0.25,1,0.0471,0.344
Serotonin and melatonin biosynthesis,Reactome,1,DDC,5 (5),0.0323,1,1,HMDB00929,14 (16),0.25,1,0.0471,0.344
fatty acid activation,HumanCyc,0,,8 (8),1,1,3,HMDB01388;HMDB00673;HMDB01999,21 (38),0.00812,0.214,0.0472,0.344
Linoleate metabolism,EHMN,0,,72 (72),1,1,3,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB00673;HMDB0007982#HMDB0007938,21 (24),0.00812,0.214,0.0472,0.344
Glucocorticoid receptor regulatory network,PID,1,AFP,80 (80),0.41,1,1,HMDB00063,1 (1),0.0203,0.423,0.0482,0.348
Arginine Proline metabolism,INOH,1,AOC3,55 (55),0.304,1,4,HMDB00641;HMDB00191;HMDB00162;HMDB00517,58 (68),0.0286,0.534,0.05,0.359
Axon guidance,Reactome,7,SEMA7A;CXCL12;ROBO2;EPHA10;GFRA2;ALCAM;RET,356 (356),0.00876,1,0,,11 (17),1,1,0.0503,0.359
Plasma lipoprotein assembly_ remodeling_ and clearance,Reactome,1,PCSK9,60 (60),0.326,1,2,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB0007982#HMDB0007938,13 (21),0.0274,0.519,0.0511,0.363
Prostate cancer - Homo sapiens (human),KEGG,1,SPINT1,97 (97),0.473,1,2,HMDB01830;HMDB00063,11 (11),0.0198,0.423,0.0531,0.375
Mannose type O-glycan biosynthesis - Homo sapiens (human),KEGG,2,B4GAT1;B4GALT1,23 (23),0.00982,1,0,,2 (27),1,1,0.0552,0.386
Steroid hormone biosynthesis - Homo sapiens (human),KEGG,1,HSD11B1,61 (61),0.331,1,5,HMDB0000879;HMDB02829;HMDB06766;HMDB01830;HMDB00063,87 (99),0.0299,0.548,0.0556,0.386
Lysosome - Homo sapiens (human),KEGG,4,SMPD1;IGF2R;CTSV;GUSB,128 (128),0.00991,1,0,,3 (4),1,1,0.0556,0.386
Prostaglandin formation from arachidonate,EHMN,0,,33 (33),1,1,4,HMDB02752;HMDB02710;HMDB60095;HMDB04236,43 (48),0.0104,0.269,0.058,0.396
Cytoprotection by HMOX1,Reactome,0,,65 (65),1,1,3,HMDB01388;HMDB00673;HMDB01999,23 (29),0.0105,0.269,0.0584,0.396
Oxidation of Branched Chain Fatty Acids,SMPDB,0,,12 (12),1,1,3,HMDB00201;HMDB00062;HMDB00824,23 (25),0.0105,0.269,0.0584,0.396
Leishmania infection,Reactome,4,CRH;TSHB;LHB;ADM,323 (323),0.162,1,3,HMDB00855;HMDB0000619;HMDB0000518,46 (53),0.0651,0.878,0.0584,0.396
Anti-inflammatory response favouring Leishmania parasite infection,Reactome,4,CRH;TSHB;LHB;ADM,247 (247),0.0789,1,2,HMDB0000619;HMDB0000518,32 (35),0.137,1,0.0596,0.399
Leishmania parasite growth and survival,Reactome,4,CRH;TSHB;LHB;ADM,247 (247),0.0789,1,2,HMDB0000619;HMDB0000518,32 (35),0.137,1,0.0596,0.399
TRAIL signaling pathway,PID,2,SMPD1;TNFRSF10A,25 (25),0.0115,1,0,,2 (2),1,1,0.063,0.418
Tyrosine metabolism,INOH,2,DDC;AOC3,33 (33),0.0196,1,1,HMDB00158,43 (44),0.589,1,0.0632,0.418
Signaling by Receptor Tyrosine Kinases,Reactome,4,ERBB3;HGF;CXCL12;PGF,464 (464),0.362,1,3,HMDB00277;HMDB10164;HMDB00517,35 (53),0.0328,0.578,0.0644,0.422
Nervous system development,Reactome,7,SEMA7A;CXCL12;ROBO2;EPHA10;GFRA2;ALCAM;RET,379 (379),0.0121,1,0,,11 (17),1,1,0.0654,0.422
N-glycan antennae elongation in the medial/trans-Golgi,Reactome,2,B4GALT1;LHB,26 (26),0.0125,1,0,,10 (22),1,1,0.0671,0.422
Folate biosynthesis - Homo sapiens (human),KEGG,2,ALPP;PTS,26 (26),0.0125,1,0,,32 (58),1,1,0.0671,0.422
Thyroid hormone synthesis - Homo sapiens (human),KEGG,3,ASGR1;SERPINA7;TSHB,75 (75),0.0131,1,0,,20 (21),1,1,0.0697,0.422
Tryptophan Metabolism,SMPDB,1,DDC,19 (19),0.117,1,3,HMDB00197;HMDB10351;HMDB00929,58 (60),0.112,1,0.0701,0.422
FOXO-mediated transcription of oxidative stress_ metabolic and neuronal genes,Reactome,1,RETN,28 (28),0.168,1,1,HMDB00063,4 (4),0.0788,0.964,0.0706,0.422
Alanine_ aspartate and glutamate metabolism - Homo sapiens (human),KEGG,0,,37 (37),1,1,3,HMDB00641;HMDB00191;HMDB01552,25 (28),0.0133,0.326,0.0706,0.422
Protein repair,Reactome,0,,6 (6),1,1,2,HMDB00191;HMDB00517,9 (13),0.0133,0.326,0.0707,0.422
Golgi-to-ER retrograde transport,Reactome,0,,116 (116),1,1,2,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB0007982#HMDB0007938,9 (11),0.0133,0.326,0.0707,0.422
Shigellosis - Homo sapiens (human),KEGG,0,,246 (246),1,1,2,HMDB00172;HMDB00687,9 (14),0.0133,0.326,0.0707,0.422
glucocorticoid biosynthesis,HumanCyc,0,,3 (3),1,1,2,HMDB00063;HMDB01830,9 (9),0.0133,0.326,0.0707,0.422
Congenital Lipoid Adrenal Hyperplasia (CLAH) or Lipoid CAH,SMPDB,1,HSD11B1,11 (11),0.0698,1,2,HMDB00063;HMDB01830,40 (42),0.194,1,0.0719,0.422
Steroidogenesis,SMPDB,1,HSD11B1,11 (11),0.0698,1,2,HMDB00063;HMDB01830,40 (42),0.194,1,0.0719,0.422
Apparent mineralocorticoid excess syndrome,SMPDB,1,HSD11B1,11 (11),0.0698,1,2,HMDB00063;HMDB01830,40 (42),0.194,1,0.0719,0.422
3-Beta-Hydroxysteroid Dehydrogenase Deficiency,SMPDB,1,HSD11B1,11 (11),0.0698,1,2,HMDB00063;HMDB01830,40 (42),0.194,1,0.0719,0.422
21-hydroxylase deficiency (CYP21),SMPDB,1,HSD11B1,11 (11),0.0698,1,2,HMDB00063;HMDB01830,40 (42),0.194,1,0.0719,0.422
Corticosterone methyl oxidase I deficiency (CMO I),SMPDB,1,HSD11B1,11 (11),0.0698,1,2,HMDB00063;HMDB01830,40 (42),0.194,1,0.0719,0.422
Corticosterone methyl oxidase II deficiency - CMO II,SMPDB,1,HSD11B1,11 (11),0.0698,1,2,HMDB00063;HMDB01830,40 (42),0.194,1,0.0719,0.422
Adrenal Hyperplasia Type 5 or Congenital Adrenal Hyperplasia due to 17 Alpha-hydroxylase Deficiency,SMPDB,1,HSD11B1,11 (11),0.0698,1,2,HMDB00063;HMDB01830,40 (42),0.194,1,0.0719,0.422
Adrenal Hyperplasia Type 3 or Congenital Adrenal Hyperplasia due to 21-hydroxylase Deficiency,SMPDB,1,HSD11B1,11 (11),0.0698,1,2,HMDB00063;HMDB01830,40 (42),0.194,1,0.0719,0.422
17-alpha-hydroxylase deficiency (CYP17),SMPDB,1,HSD11B1,11 (11),0.0698,1,2,HMDB00063;HMDB01830,40 (42),0.194,1,0.0719,0.422
11-beta-hydroxylase deficiency (CYP11B1),SMPDB,1,HSD11B1,11 (11),0.0698,1,2,HMDB00063;HMDB01830,40 (42),0.194,1,0.0719,0.422
Neurotransmitter release cycle,Reactome,1,NAAA,50 (50),0.281,1,3,HMDB00641;HMDB00895;HMDB00043,41 (45),0.049,0.756,0.0727,0.425
Metabolism of steroids,Reactome,1,HSD11B1,124 (124),0.559,1,6,HMDB03533;HMDB0000619;HMDB01830;HMDB0000518;HMDB00063;HMDB00138,113 (142),0.0252,0.499,0.074,0.429
Direct p53 effectors,PID,4,HGF;TNFRSF10A;IGFBP3;AFP,142 (142),0.0141,1,0,,1 (1),1,1,0.0741,0.429
Glycerophospholipid biosynthesis,Reactome,0,,130 (130),1,1,4,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB0007982#HMDB0007938;HMDB00895;HMDB10164,47 (94),0.0142,0.346,0.0745,0.429
Keratan sulfate biosynthesis,Reactome,2,B4GAT1;B4GALT1,28 (28),0.0144,1,0,,9 (9),1,1,0.0753,0.431
Constitutive Signaling by Aberrant PI3K in Cancer,Reactome,3,ERBB3;HGF;CD28,79 (79),0.015,1,0,,5 (18),1,1,0.0781,0.441
Cushing syndrome - Homo sapiens (human),KEGG,1,CRH,155 (155),0.641,1,2,HMDB01830;HMDB00063,12 (13),0.0234,0.474,0.0781,0.441
Metabolism of amine-derived hormones,Reactome,1,DDC,16 (16),0.0999,1,2,HMDB00158;HMDB00929,34 (39),0.151,1,0.0782,0.441
Sphingolipid metabolism - Homo sapiens (human),KEGG,1,SMPD1,49 (49),0.276,1,2,HMDB00277;HMDB13464,19 (25),0.0555,0.823,0.0793,0.442
Fertilization,Reactome,1,B4GALT1,26 (26),0.157,1,1,HMDB01830,5 (5),0.0976,1,0.0794,0.442
Tyrosine metabolism - Homo sapiens (human),KEGG,2,DDC;AOC3,36 (36),0.0231,1,1,HMDB00158,58 (78),0.7,1,0.083,0.442
Dopaminergic Neurogenesis,Wikipathways,2,RET;DDC,30 (30),0.0164,1,0,,1 (1),1,1,0.0837,0.442
Citrullinemia Type I,SMPDB,0,,13 (13),1,1,3,HMDB00641;HMDB00191;HMDB00517,27 (27),0.0164,0.373,0.0838,0.442
Carbamoyl Phosphate Synthetase Deficiency,SMPDB,0,,13 (13),1,1,3,HMDB00641;HMDB00191;HMDB00517,27 (27),0.0164,0.373,0.0838,0.442
Argininemia,SMPDB,0,,13 (13),1,1,3,HMDB00641;HMDB00191;HMDB00517,27 (27),0.0164,0.373,0.0838,0.442
Argininosuccinic Aciduria,SMPDB,0,,13 (13),1,1,3,HMDB00641;HMDB00191;HMDB00517,27 (27),0.0164,0.373,0.0838,0.442
Urea Cycle,SMPDB,0,,13 (13),1,1,3,HMDB00641;HMDB00191;HMDB00517,27 (27),0.0164,0.373,0.0838,0.442
Ornithine Transcarbamylase Deficiency (OTC Deficiency),SMPDB,0,,13 (13),1,1,3,HMDB00641;HMDB00191;HMDB00517,27 (27),0.0164,0.373,0.0838,0.442
